"Customer was redirected to Liqpay.","Пользователь перенаправлен на сайт Liqpay."
"Liqpay amount validation failed.","Ошиба проверки суммы заказа."
"Payment failed","Платеж отклонен"
"Payment is being validated by Liqpay","Платеж проверяется компанией Liqpay"
"Payment accepted","Платеж принят"
"Payment failed - unknown status returned","Платеж отклонен - Liqpay вернул неизвестный статус"
"Payment will be processed by Liqpay (liqpay.com)","Платеж будет осуществлен системой Liqpay (liqpay.com)"
"You will be redirected to Liqpay in a few seconds. If not please click on the redirect button.","Через несколько секунд Вы будете перенаправлены на сайт Liqpay для осуществления платежа. Если перенаправление не произошло, нажмите на кнопку Далее."
"Redirect","Далее"
"Amount successfully captured.","Платеж прошел успешно."
"Currency is not supported by Liqpay","Liqpay не поддерживает выбранную валюту"
"Create Invoice","Создавать счет"
"Transfer goods ID","Передавать goods ID"
"Used for purchases counter, that is visible for customers. Won't be used for orders with more than 1 product.","Используется только для счетчика покупок данного товара. Счетчик виден покупателю. Не используется для заказов с количеством товаров больше 1."
"Expiration time (hours)","Expiration time (в часах)"
"Used for payment terminals payments only. Liqpay default value is used by default.","Время в часах, в течение которого данный товар можно оплатить в терминале самообслуживания. По умолчанию используется стандартное значение системы Liqpay."
"Your order is placed and waiting for the payment.","Ваш заказ принят и ожидает оплаты."
"Order is waiting for offline payment","Заказ ожидает оплаты через банкомат"
"Order cash payment expired. Current expiration time is %s hours.","Оплата наличными просрочена. Текущее максимальное время ожидания %s часов"
